test,recommender,level,family,horizon,cell,env_id,cap,base_seed,policy,group,stratum_empty_common_support,n_cells,n_envs,n_episodes,n_cells_policy,common_support,params_tuned,regret,regret_lo,regret_hi,regret_se,q,regret_disc,regret_sel,k_final,search_frac,n_rec,n_singletons_final,herfindahl,n_eliminated_final,n_demoted,t_cap_hit_given_hit,mu_star,mu_star_cap,best_discovered,cap_hit_frac,d_regret_vs_cp0,d_regret_vs_cp0_lo,d_regret_vs_cp0_hi,d_regret_vs_cp0_se,d_regret_vs_cp0_win,d_regret_vs_cp0_n_cells,d_regret_vs_cp0_cluster_lo,d_regret_vs_cp0_cluster_hi,d_regret_vs_cp0_cluster_se,d_regret_vs_cp0_cluster_p,d_regret_vs_cp0_cluster_p_sign,d_regret_vs_cp0_cluster_boot_t_lo,d_regret_vs_cp0_cluster_boot_t_hi,d_regret_vs_cp0_cluster_pct_lo,d_regret_vs_cp0_cluster_pct_hi,d_regret_vs_cp0_cluster_min_env,d_regret_vs_cp0_cluster_max_env,d_regret_vs_cp0_cluster_degenerate,d_regret_vs_cp0_cluster_method,d_regret_vs_cp0_ref_tuned,d_regret_vs_cp0_n_excluded_untuned,d_regret_vs_p3_star,d_regret_vs_p3_star_lo,d_regret_vs_p3_star_hi,d_regret_vs_p3_star_se,d_regret_vs_p3_star_win,d_regret_vs_p3_star_n_cells,d_regret_vs_p3_star_cluster_lo,d_regret_vs_p3_star_cluster_hi,d_regret_vs_p3_star_cluster_se,d_regret_vs_p3_star_cluster_p,d_regret_vs_p3_star_cluster_p_sign,d_regret_vs_p3_star_cluster_boot_t_lo,d_regret_vs_p3_star_cluster_boot_t_hi,d_regret_vs_p3_star_cluster_pct_lo,d_regret_vs_p3_star_cluster_pct_hi,d_regret_vs_p3_star_cluster_min_env,d_regret_vs_p3_star_cluster_max_env,d_regret_vs_p3_star_cluster_degenerate,d_regret_vs_p3_star_cluster_method,d_regret_vs_p3_star_ref_tuned,d_regret_vs_p3_star_n_excluded_untuned
B,posterior_mean_shrunk,family_horizon,A,50,,,all,,cp0,reference,False,4,4,8000,4,True,True,0.19302755148540562,0.18999453536234795,0.19610211518593132,0.0015460538511752222,0.5018846930263625,0.15542827374837362,0.03759927773703202,6.0,0.08333333333333331,12.63975,0.133125,0.207555,0.013625,,,0.6949122445117683,0.6949122445117683,0.5394839707633946,0.0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0,0.0384086952115631,0.03478383441979531,0.0419656427053269,0.0018059348229849492,0.4365625,4,-0.036246128896333295,0.11306351931945949,0.0234583138084528,0.20008759637751244,0.125,-0.005764071880343356,8.331984034539031,0.011182328570634127,0.08404917050177937,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,50,,,all,,p3_star,reference,False,4,4,8000,4,True,True,0.15461885627384253,0.15177249647676944,0.1574825101532042,0.0014674005312945273,0.5402933882379257,0.054684982635080814,0.09993387363876173,21.0,0.39583333333333326,5.5665,6.307874999999999,0.0714926,0.0,,,0.6949122445117683,0.6949122445117683,0.6402272618766873,0.0,-0.0384086952115631,-0.0419656427053269,-0.03478383441979531,0.0018059348229849492,0.5634375,4,-0.11306351931945949,0.036246128896333295,0.0234583138084528,0.20008759637751244,0.125,-8.331984034539031,0.005764071880343356,-0.08404917050177937,-0.011182328570634127,,,False,env_mean_t,True,0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,50,,,all,,phi_k16,learned,False,4,4,8000,4,True,True,0.1502596689408201,0.14752129572443665,0.15306981848552823,0.0014284286407352756,0.544652575570948,0.03292927322536707,0.11733039571545305,26.606,0.5126249999999999,5.467,17.17,0.0705718,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6619829712864012,0.0,-0.042767882544585516,-0.04640988189494237,-0.039086646743817254,0.0018602361697656127,0.57125,4,-0.1289408350086446,0.04340506991947355,0.027077582525426754,0.21235358718178682,0.125,-1.1873739948066486,0.012106136139067837,-0.09707042435866788,-0.01339721090867897,,,False,env_mean_t,True,0,-0.004359187333022419,-0.006925576486992213,-0.001825965101306793,0.0013205628759112244,0.5020625,4,-0.01781965073475769,0.009101276068712853,0.004229596389226527,0.3785261335440516,0.375,-0.02622913155678995,0.004879667974909829,-0.01173371168138692,0.0018986290312750496,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,50,,,all,,phi_k16_all71,learned,False,4,4,8000,4,True,True,0.15008496622662276,0.1473422986920923,0.15289356056600809,0.0014269717997960293,0.5448272782851454,0.032753079442307355,0.11733188678431544,26.65,0.5135416666666666,5.460875,17.232625,0.0704745,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6621591650694608,0.0,-0.042942585258782855,-0.04657760451664217,-0.03925747346947901,0.0018608172476855234,0.57175,4,-0.12930112568801813,0.04341595517045243,0.027135898659423452,0.21168776920358623,0.125,-1.1585788071715664,0.011961154092310973,-0.09733872961004271,-0.01361483179274728,,,False,env_mean_t,True,0,-0.004533890047219756,-0.007086499438992177,-0.0020187866277410656,0.001322292838417653,0.50275,4,-0.018138743850862463,0.009070963756422948,0.004274967273149284,0.36670833098143363,0.375,-0.025702178329834,0.004485175487244378,-0.012068193559593054,0.0017280937704636018,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,50,,,all,,phi_k16_nopolicy,learned,False,4,4,8000,4,True,True,0.15085644629710077,0.14799913647584617,0.15370416431687772,0.001450942815788719,0.5440557982146674,0.05623626840021462,0.09462017789688616,20.018,0.37537499999999996,6.129375,7.4105,0.0812625,0.0,0.0,,0.6949122445117683,0.6949122445117683,0.6386759761115536,0.0,-0.042171105188304865,-0.04564887766027823,-0.03864107291446999,0.0017759240341414357,0.5729375000000001,4,-0.12009606298300099,0.035753852606391266,0.024485867260453056,0.18349906900704,0.125,-0.8190798004831084,0.005990660905032842,-0.09069767960237551,-0.015024802312254906,,,False,env_mean_t,True,0,-0.003762409976741765,-0.005963713943310722,-0.001576974687122857,0.00111753369924363,0.50675,4,-0.008770100521213478,0.001245280567729947,0.001573534967788023,0.09664939764863874,0.125,-0.01189178794099681,0.00619118060264278,-0.00636850719312497,-0.0011563127603585598,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,100,,,all,,cp0,reference,False,4,4,8000,4,True,True,0.18499764045939082,0.18218001979403198,0.18779097655788063,0.0014386699621272302,0.5454499554554351,0.15428699537040666,0.03071064508898417,8.9995,0.07142346938775507,21.9745,0.232125,0.161392625,0.077875,,,0.7304475959148258,0.707866103662178,0.5761606005444191,0.0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0,0.03771646439284086,0.03446657744061667,0.04105462540464941,0.0016777436523870875,0.4236875,4,-0.03787662050865162,0.11330954929433334,0.02375313757092707,0.21052288915049266,0.125,-0.007049189083752613,0.7719814183281294,0.00874097990244627,0.08360706943407423,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,100,,,all,,p3_star,reference,False,4,4,8000,4,True,True,0.14728117606654995,0.1446262436453253,0.14994307267479598,0.001374528749953174,0.5831664198482758,0.05709044427983463,0.09019073178671534,36.0,0.34693877551020413,8.767999999999999,10.046500000000002,0.04819930000000001,0.0,,,0.7304475959148258,0.707866103662178,0.6733571516349912,0.0,-0.03771646439284086,-0.04105462540464941,-0.03446657744061667,0.0016777436523870875,0.5763125,4,-0.11330954929433334,0.03787662050865162,0.02375313757092707,0.21052288915049266,0.125,-0.7719814183281294,0.007049189083752613,-0.08360706943407423,-0.00874097990244627,,,False,env_mean_t,True,0,0.0,0.0,0.0,0.0,0.5,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,100,,,all,,phi_k16,learned,False,4,4,8000,4,True,True,0.14044382594537458,0.13780899718403816,0.1430817491840571,0.0013549402347971162,0.5900037699694513,0.04318344616517425,0.09726037978020032,40.366749999999996,0.39149744897959193,9.838249999999999,19.272125000000003,0.060346225,0.0,2.9219999999999997,85.03801843317973,0.7304475959148258,0.707866103662178,0.6872641497496514,0.3045,-0.044553814514016264,-0.04800849262974225,-0.04108209299156442,0.0017608562072552025,0.5864375,4,-0.1315832476367823,0.042475618608749786,0.027346709032694136,0.2017552449972028,0.125,-1.726332686146656,0.006891626882795064,-0.09756795724801487,-0.011983957543969154,,,False,env_mean_t,True,0,-0.006837350121175404,-0.009480286345205967,-0.004213575655876412,0.0013601986119118508,0.515875,4,-0.019037198848303957,0.005362498605953149,0.003833481402930053,0.1724951498440926,0.125,-0.03215639920488456,0.0007405688533909573,-0.014111570319568272,-0.001728400059859268,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,100,,,all,,phi_k16_all71,learned,False,4,4,8000,4,True,True,0.1407314039861085,0.13807562431320547,0.14340001004748046,0.001356439382015989,0.5897161919287173,0.040746982881799336,0.09998442110430916,42.04,0.4085714285714286,9.486625,21.3735,0.057693100000000004,0.0,2.84775,86.67464114832535,0.7304475959148258,0.707866103662178,0.6897006130330264,0.3355,-0.04426623647328233,-0.047752163308905436,-0.04075789256021381,0.001764915786798975,0.5859375,4,-0.1306713456780148,0.04213887273145016,0.027150531671587676,0.20151122891304152,0.125,-1.7667097933673317,0.006769517852679992,-0.0968804555995739,-0.011905310258269311,,,False,env_mean_t,True,0,-0.006549772080441472,-0.009096767590926902,-0.003922063701338631,0.001333108130662773,0.5160625,4,-0.018139471037302728,0.005039926876419786,0.0036417578947425676,0.16993172161025547,0.125,-0.03022303468101311,0.0006254573377472384,-0.013424405396392104,-0.0016504262246889994,,,False,env_mean_t,True,0
B,posterior_mean_shrunk,family_horizon,A,100,,,all,,phi_k16_nopolicy,learned,False,4,4,8000,4,True,True,0.14417317467863905,0.1415608307812363,0.1468296148814261,0.0013583790956164662,0.5862744212361868,0.05766046838834882,0.08651270629029023,32.73375,0.31360969387755105,10.311124999999999,7.42375,0.06297910000000001,0.0,0.0,,0.7304475959148258,0.707866103662178,0.672787127526477,0.0,-0.04082446578075178,-0.044101030926685776,-0.037594535225071016,0.001663030773042827,0.5845,4,-0.1195580559056752,0.03790912434417163,0.024739958689705053,0.19747752948043204,0.125,-0.9447465627166527,0.006314672013505267,-0.08903173372329912,-0.01157147803157568,,,False,env_mean_t,True,0,-0.0031080013879109174,-0.005028185862101963,-0.001206049400570919,0.0009838913333462397,0.508,4,-0.008987601799090642,0.002771599023268808,0.0018475096976241277,0.19110759800227511,0.375,-0.02627958046884117,0.1332971251619999,-0.006290112125687301,7.410934986546638e-05,,,False,env_mean_t,True,0
